network,status,skip_reason,num_nodes,num_edges,num_communities,original_num_nodes,original_num_edges,sampled,sampling_method,a_true,b_true,theta_true,beta,a_hat,b_hat,theta_hat,a_abs_error,b_abs_error,theta_abs_error,a_rel_error,b_rel_error,theta_rel_error,num_exposure_rows,positive_y_rate,valid_exposure_rate,n_cascades,max_steps,seed_size,zero_exposure_rate,m_in_std,m_out_std,degree_std,design_condition_number,fit_iterations
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.2,0.1,5.0,0.8067573359936706,0.20223740849247834,0.10095106293798224,0.006757335993670566,0.002237408492478332,0.0009510629379822361,0.008446669992088207,0.011187042462391661,0.00951062937982236,2804383,0.08426095864937136,1.0,100,20,5,0.571355624392246,6.097504414063609,2.4683572046295974,50.93286151812372,1.492516816605925,28
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.2,0.15,5.0,0.800843222258955,0.01902611867220308,0.1491873259099318,0.0008432222589549454,0.18097388132779693,0.0008126740900681884,0.0010540278236936818,0.9048694066389846,0.005417827267121256,4463842,0.0053989366111076515,1.0,100,20,5,0.772003354957456,0.8983031860709162,0.2326091466734604,51.01617902761711,1.3240141291524952,15
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.4,0.05,5.0,0.7949381542764824,0.39747900546268383,0.04959949369814407,0.005061845723517644,0.00252099453731619,0.000400506301855931,0.006327307154397055,0.006302486343290475,0.00801012603711862,1044847,0.22615751397094502,1.0,100,20,5,0.5267067809928152,8.789373470385248,1.958348102622872,51.399857887633445,1.7809343572947185,33
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.4,0.1,5.0,0.7969457344412231,0.39748428786965506,0.09954545476706408,0.0030542655587769696,0.0025157121303449603,0.0004545452329359212,0.003817831948471212,0.006289280325862401,0.004545452329359212,2738615,0.08628449051801731,1.0,100,20,5,0.5820306979988059,6.119499640046604,1.7798775300423613,51.01499650996584,1.6258652339218451,31
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.4,0.15,5.0,0.8047186567828767,0.3986441838792948,0.15163618839572635,0.00471865678287664,0.0013558161207052333,0.0016361883957263512,0.0058983209785958,0.003389540301763083,0.010907922638175676,4462592,0.005452660695846719,1.0,100,20,5,0.7671944914525012,0.9007007201239285,0.2300817496370969,51.00942329673927,1.3309234210106247,24
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.6,0.05,5.0,0.8019314725316858,0.6031989043510381,0.05011159518257765,0.0019314725316857961,0.00319890435103809,0.0001115951825776465,0.002414340664607245,0.00533150725173015,0.00223190365155293,1029366,0.22955877695591267,1.0,100,20,5,0.5280842771181484,8.332070973912828,1.7628551565389012,51.40661399519471,1.8021064629359471,31
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.6,0.1,5.0,0.7973216630730261,0.5995771542366406,0.09970292139194004,0.0026783369269739454,0.00042284576335938073,0.00029707860805996966,0.003347921158717432,0.0007047429389323012,0.0029707860805996966,2597121,0.09098536417825738,1.0,100,20,5,0.583724824526851,6.209603042230795,1.5122859254442846,51.03291392242632,1.7506502430092654,21
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.6,0.15,5.0,0.8032234194400145,0.6349722731527405,0.1512915503519197,0.0032234194400144744,0.03497227315274054,0.001291550351919718,0.004029274300018093,0.05828712192123424,0.008610335679464787,4434024,0.005671597627798135,1.0,100,20,5,0.7630569884150379,0.9239988849803862,0.2383072760181581,51.01377731171043,1.3329037188040684,16
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.2,0.05,5.0,1.0005717347589351,0.2013987218275805,0.050073118470188624,0.0005717347589351274,0.0013987218275804958,7.311847018862117e-05,0.0005717347589351274,0.006993609137902479,0.0014623694037724233,929848,0.2541275563317876,1.0,100,20,5,0.5301888050520085,8.732716932898708,2.767389960448907,51.329621417131115,1.6196887276163014,26
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.2,0.1,5.0,0.9950026151906497,0.1982010259945572,0.09947030201322356,0.004997384809350303,0.0017989740054428216,0.0005296979867764479,0.004997384809350303,0.008994870027214108,0.005296979867764479,2128734,0.11100494472301377,1.0,100,20,5,0.5766417974251362,6.541475783679944,2.772877664960284,50.94528010258177,1.4530361964797662,27
friendster,ok,,2368,66848,2,2368,66848,False,none,1.0,0.2,0.15,5.0,0.9990497618830458,0.19965255480908423,0.14974102185383859,0.0009502381169541607,0.00034744519091578496,0.00025897814616140935,0.0009502381169541607,0.0017372259545789248,0.0017265209744093957,4298196,0.01776489485356182,1.0,100,20,5,0.6851932764350439,2.630101913848529,1.416706898306208,51.12772579389892,1.3064256566521297,24
