model,calibration,fold,model_fit_stories,calibration_stories,test_stories,story_overlap,rows,positives,weighted_positive_prevalence,weighted_log_loss,weighted_brier,weighted_roc_auc,weighted_pr_auc,platt_intercept,platt_slope,platt_converged,platt_iterations,platt_warning,final_model_decision,full_to_context_log_loss_ratio,full_to_context_brier_ratio
XGB_context,platt,4,64,16,20,0,106482,17747,0.0001691028968878434,0.001407783342330197,0.00016852182113506373,0.8960157019616503,0.0110253597333898,-0.9814910338366651,0.9074621501915123,1,5,,,,
XGB_full,uncalibrated,4,64,16,20,0,106482,17747,0.0001691028968878434,0.0013843973790738783,0.00016841241555961656,0.8981268351716015,0.013730163643274292,,,,,,,,
XGB_full,platt,4,64,16,20,0,106482,17747,0.0001691028968878434,0.0014011126096437631,0.00016838189193215232,0.8981268434913272,0.013730163636127626,-1.1209982964135055,0.8882179162882665,1,6,,,,
XGB_context,uncalibrated,5,64,16,20,0,50298,8383,0.00010572068992240198,0.0009150170266550674,0.00010686251727983008,0.8847714982460301,0.013811967523091096,,,,,,,,
XGB_context,platt,5,64,16,20,0,50298,8383,0.00010572068992240198,0.0009004107167504663,0.0001054435084475126,0.8847714958378887,0.013811967529081278,-1.3129717659000768,0.822940550510898,1,5,,,,
XGB_full,uncalibrated,5,64,16,20,0,50298,8383,0.00010572068992240198,0.0009405572321874695,0.00011342600999040352,0.8865677024103572,0.007721934444735132,,,,,,,,
XGB_full,platt,5,64,16,20,0,50298,8383,0.00010572068992240198,0.0009036194736960836,0.00010628170663614549,0.8865677026425479,0.007721934563911857,-1.2794670329596087,0.8268787076843689,1,5,,,,
XGB_context,uncalibrated,mean,,,,0,,,0.00013730880532607123,0.001158730078349665,0.00013810398666383938,0.9011408905311369,0.010821471183976233,,,,,,calibrated XGB_full,0.9907734562816136,1.001888759657941
XGB_context,uncalibrated,std,,,,0,,,3.4126888032529576e-05,0.00029406030296779025,3.408541776377767e-05,0.011912098217131371,0.00308564229541277,,,,,,,,
XGB_context,uncalibrated,pooled_oof,,,,0,346338,57723,0.00014109923601447963,0.0011898956318209064,0.00014181945373878795,0.8967323616271353,0.006012674777675855,,,,,,,,
XGB_context,platt,mean,,,,0,,,0.00013730880532607123,0.001140860217168936,0.0001370120302790603,0.9011408904467565,0.010821471542262106,,,,,,calibrated XGB_full,0.9907734562816136,1.001888759657941
XGB_context,platt,std,,,,0,,,3.4126888032529576e-05,0.00027811807799383843,3.411078239545174e-05,0.011912099190779311,0.0030856424521015064,,,,,,,,
XGB_context,platt,pooled_oof,,,,0,346338,57723,0.00014109923601447963,0.001172648219816943,0.00014078641929876845,0.8931073129687818,0.005672476131677333,,,,,,,,
XGB_full,uncalibrated,mean,,,,0,,,0.00013730880532607123,0.0011580968935785744,0.000140877834949812,0.903227689140466,0.01173103096915613,,,,,,calibrated XGB_full,0.9907734562816136,1.001888759657941
XGB_full,uncalibrated,std,,,,0,,,3.4126888032529576e-05,0.00027259610073816505,3.179262430137098e-05,0.011781993181246581,0.0031473783246502504,,,,,,,,
XGB_full,uncalibrated,pooled_oof,,,,0,346338,57723,0.00014109923601447963,0.0011879221153581717,0.0001443597687795692,0.8987856605898668,0.006759841514819736,,,,,,,,
XGB_full,platt,mean,,,,0,,,0.00013730880532607123,0.0011303340204986592,0.00013727081307450398,0.903227688486379,0.011731031127169465,,,,,,calibrated XGB_full,0.9907734562816136,1.001888759657941
XGB_full,platt,std,,,,0,,,3.4126888032529576e-05,0.00026640430619179407,3.3537114190302505e-05,0.011781990930451755,0.003147378175200831,,,,,,,,
XGB_full,platt,pooled_oof,,,,0,346338,57723,0.00014109923601447963,0.0011616489548795111,0.00014098940998227906,0.8957620604238857,0.006814055483489482,,,,,,,,
